"","data","estacao","umidade","pressao","temperatura","vento","solar","MP10","area"
"1","2011-1","AV",76.6481358885017,1008.53470383275,27.6637282229965,0.621474245115453,69.192534965035,48.4886538461538,39.0015178288121
"2","2011-10","AV",77.2129981378026,1014.00253036437,22.890260707635,0.622729124236253,56.9458452138493,55.2489753320683,39.0012271807417
"3","2011-11","AV",76.5863157894737,1013.81603508772,22.8133333333333,0.643438596491228,68.7429298245614,50.3892456140351,39.0011948865117
"4","2011-12","AV",77.6994069192751,1010.87597682119,24.9299835255354,0.707495854063018,68.3710116086235,54.4869636963696,39.0011625922816
"5","2011-2","AV",69.9273059360731,1010.98355294118,28.0128310502283,0.665924170616114,62.8062174940898,56.7012037037037,39.0014855345821
"6","2011-3","AV",81.526339031339,1012.25790178571,26.0490313390313,0.517425595238095,55.3622321428571,47.8619943019943,39.0014532403521
"7","2011-4","AV",76.7554041916168,1014.33370429253,26.3571107784431,0.60637519872814,50.7720826709062,49.5919667170953,39.001420946122
"8","2011-5","AV",78.1843208092486,1017.03457725948,22.5122976878613,0.63134110787172,26.827084548105,46.0803183791606,39.001388651892
"9","2011-6","AV",75.9897519379845,1017.742074883,21.118511627907,0.609469578783151,18.3604056162247,52.8543521594684,39.0013563576619
"10","2011-7","AV",76.4065608465609,1018.43333333333,21.0699470899471,0.621925795053003,25.5358833922261,54.9252920353982,39.0013240634319
"11","2011-8","AV",72.6943577235772,1017.92100196464,22.5595447154472,0.639115913555992,48.4425147347741,55.96305,39.0012917692018
"12","2011-9","AV",70.5643333333333,1020.63809946714,21.7757368421053,0.63414590747331,56.5061101243339,55.4501470588235,39.0012594749718
"13","2012-1","AV",80.329966442953,1012.03822147651,24.9418624161074,0.676476510067114,67.0772315436242,47.8226050420168,39.0011302980516
"14","2012-10","AV",74.217624750499,1013.99449101796,23.9333932135729,0.678502994011976,65.79624750499,50.4303933747412,39.0008396499812
"15","2012-11","AV",81.3666557377049,1012.45921052632,23.4435245901639,0.556907894736842,67.8393914473684,43.3076320272572,39.0008073557511
"16","2012-12","AV",74.4586078431373,1010.01822,27.4030392156863,0.72798,70.37056,54.001906693712,39.0007750615211
"17","2012-2","AV",71.4157112526539,1012.14540425532,26.7253290870488,0.697617021276596,59.3860638297872,54.1569002123142,39.0010980038216
"18","2012-3","AV",76.6965758091993,1013.63102389078,26.0716354344123,0.665341296928328,59.8358361774744,50.5660787671233,39.0010657095915
"19","2012-4","AV",78.1758396369138,1013.60637059724,25.6163237518911,0.626431852986218,66.227886676876,47.1028831562974,39.0010334153615
"20","2012-5","AV",78.2521852387844,1018.23162601626,22.4809551374819,0.634081300813008,36.4276422764228,46.3548115942029,39.0010011211314
"21","2012-6","AV",80.9594705882353,1017.63596153846,22.9459117647059,0.584112426035503,31.1568343195266,45.5457058823529,39.0009688269014
"22","2012-7","AV",75.2662895927602,1018.3854147813,22.2063499245852,0.67473604826546,33.5405128205128,50.0513282442748,39.0009365326713
"23","2012-8","AV",71.3525864661654,1022.51028391167,22.6933233082707,0.656388012618296,79.082429022082,44.8346042003231,39.0009042384413
"24","2012-9","AV",73.0993506493507,1018.51899628253,22.3513729128015,0.638847583643123,57.5027137546468,52.1691635687732,39.0008719442112
"25","2013-1","AV",79.8757781201849,1012.38237288136,25.7931432973806,0.604668721109399,81.3006471494607,50.1739599383667,39.0007427672911
"26","2013-10","AV",75.374243902439,1015.6063902439,23.457674796748,0.647951219512195,70.8350569105691,52.3622149837134,39.0004521192206
"27","2013-11","AV",78.4978821362799,1013.92541436464,23.7734622467772,0.627458563535912,73.9299631675875,51.40963099631,39.0004198249906
"28","2013-12","AV",78.6098854337152,1009.78695581015,25.8958428805237,0.630785597381342,91.0288870703764,45.4979310344828,39.0003875307605
"29","2013-2","AV",71.6412106135987,1011.89887230514,28.432056384743,0.654179104477612,56.9455172413793,57.444219269103,39.000710473061
"30","2013-3","AV",80.2714483821264,1013.50106317411,25.9439753466872,0.578135593220339,68.7724767801858,49.966625577812,39.000678178831
"31","2013-4","AV",77.5374074074074,1015.20109965636,24.3379871175523,0.544123711340206,62.6179896907217,50.6743457189015,39.0006458846009
"32","2013-5","AV",77.2268731117825,1016.36448640483,22.9255891238671,0.627537764350453,66.4037613293051,47.1663595166163,39.0006135903709
"33","2013-6","AV",78.2998966026588,1017.28750369276,23.0967799113737,0.630945347119645,63.3106499261448,48.4417210682493,39.0005812961408
"34","2013-7","AV",76.7490857946554,1019.92908579466,21.2597609001406,0.677257383966245,73.0753867791842,45.9957449856734,39.0005490019108
"35","2013-8","AV",73.4733512544803,1018.81910233393,21.7465949820789,0.692387791741472,59.1965170556553,51.9348924731183,39.0005167076807
"36","2013-9","AV",73.900574912892,1017.39277003484,22.9926480836237,0.717456445993031,64.9683972125436,48.8033275261324,39.0004844134507
"37","2014-1","AV",70.9339520958084,1012.50844,27.7602395209581,0.75248,56.25966,57.7017165668663,39.0003552365305
"38","2014-10","AV",71.1578373382625,1016.86656192237,23.4237707948244,0.704314814814815,77.6587777777778,47.9658888888889,39.0000645884601
"39","2014-11","AV",75.6568602540835,1013.08259528131,24.6093284936479,0.646436363636364,73.9484007352941,44.0778765880218,39.00003229423
"40","2014-12","AV",69.3233919156415,1011.78644991213,27.0774692442882,0.722618629173989,80.3098066783831,47.1177464788732,39
"41","2014-2","AV",68.0733604336043,1012.34569105691,27.0313279132791,0.689376693766938,73.7187804878049,62.2559891598916,39.0003229423005
"42","2014-3","AV",76.782507204611,1013.12691642651,26.3697406340058,0.670893371757925,77.5221613832853,55.9517052023121,39.0002906480704
